gold_split,target_year,entry_id,title,main_category,route_hint,training_quality_bucket,pdf_filename,pdf_uploaded_for_second_pass,second_pass_status,summary_changed,silver_reference_draft,second_pass_summary,second_pass_notes
test,2023,http://arxiv.org/abs/2310.05476v2,Revitalizing education through ict: a short overview of japan's current landscape,cs.CY,section_plus_global,good,2310.05476.pdf,True,pdf_checked,True,"The domain of Information and Communication Technology (ICT) education has garnered significant consideration in recent times. However, several challenges are inherent to this area of study, including monetary expense, temporal factors, pedagogical environment, teacher training programs, incentive, syllabus design, and health-related concerns. This paper presents an analysis of the difficulties encountered in the realm of ICT education in Japan, taking into account ten different perspectives. A peer-reviewed article of this Preprint also exists ""Fujita, T. (2023).","This paper gives a short overview of information and communication technology in Japanese education. Rather than proposing a new system, it reviews the main obstacles to broader ICT use, including cost, time, teaching conditions, teacher preparation, incentives, curriculum design, and health concerns. The goal is to highlight the practical barriers that shape how digital tools are adopted in Japan's education system.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2304.14676v2,Quantum Cross Subspace Alignment Codes via the $N$-sum Box Abstraction,cs.IT,section_plus_global,good,2304.14676.pdf,True,pdf_checked,True,"Cross-subspace alignment (CSA) codes are used in various private information retrieval (PIR) schemes (e.g., with secure storage) and in secure distributed batch matrix multiplication (SDBMM). Using a recently developed N-sum box abstraction of a quantum multiple-access channel (QMAC), we translate CSA schemes over classical multiple-access channels into efficient quantum CSA schemes over a QMAC, achieving maximal superdense coding gain. Because of the N-sum box abstraction, the underlying problem of coding to exploit quantum entanglements for CSA schemes, becomes conceptually equivalent to that of designing a channel matrix for a MIMO MAC subject to given structural constraints imposed by the N-sum box abstraction, such that the resulting MIMO MAC is able to implement the functionality of a CSA scheme (encoding/decoding) over-the-air. Applications include Quantum PIR with secure and MDS-coded storage, as well as Quantum SDBMM.","This paper translates a family of coding methods used in classical communication into a quantum setting. Using an abstraction called the N-sum box, the authors build quantum cross-subspace alignment codes for quantum multiple-access channels and show how these codes can exploit entanglement efficiently. The work is motivated by applications such as private information retrieval and secure distributed matrix multiplication. In short, the paper provides a way to carry over useful alignment ideas from classical coding into quantum communication protocols.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2309.11895v4,Audio Contrastive-based Fine-tuning: Decoupling Representation Learning and Classification,cs.SD,section_plus_global,good,2309.11895.pdf,True,pdf_checked,True,"Standard fine-tuning of pre-trained audio models couples representation learning with classifier training, which can obscure the true quality of the learned representations. In this work, we advocate for a disentangled two-stage framework that separates representation refinement from downstream evaluation. First, we employ a ""contrastive-tuning"" stage to explicitly improve the geometric structure of the model's embedding space. Subsequently, we introduce a dual-probe evaluation protocol to assess the quality of these refined representations from a geometric perspective.","This paper argues that fine-tuning an audio model should not mix representation learning and classifier training into one step. The authors propose a two-stage process: first refine the embedding space with contrastive tuning, then evaluate the learned representation with both a linear probe and a k-nearest-neighbors probe. This makes it easier to see whether the representation itself really improved. Across several audio classification tasks, the method outperformed standard fine-tuning and gave a clearer picture of why the learned features were better.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2308.02662v2,"Spectral Norm, Economical Sieve, and Linear Invariance Testing of Boolean Functions",cs.CC,global_only,borderline,2308.02662.pdf,True,pdf_checked,True,"Given Boolean functions \( f, g : F_2^n \to \-1,+1\ \), we say they are \em linearly isomorphic if there exists \( A \in GL_n(F_2) \) such that \( f(x)=g(Ax) \) for all \( x \). We study this problem in the tolerant property testing framework under the known--unknown model, where \( g \) is given explicitly and \( f \) is accessible only via oracle queries, meaning the algorithm may adaptively request the value of \( f(x) \) for inputs \( x \in F_2^n \) of its choice. Given parameters \( ε\ge 0 \) and \( ω>0 \), the goal is to distinguish whether there exists \( A \in GL_n(F_2)\) such that the normalized Hamming distance between \( f \) and \( g(Ax) \) is at most \( ε\), or whether for every \( A \in GL_n(F_2) \) the distance is at least \( ε+ω\). Our main result is a tolerant tester making \( \widetildeO \left( \left( m/ω\right)^4 \right) \) queries to \( f \), where \( m \) is an upper bound on the spectral norm of \( g \), improving the previous \( \widetildeO \left( \left( m/ω\right)^24 \right) \) bound of Wimmer and Yoshida.","This paper studies how to test whether an unknown Boolean function is essentially the same as a known one after a linear change of coordinates, even when some errors are allowed. The main result is a much more query-efficient tolerant tester than previous work, along with a stronger lower bound showing that the problem still cannot be solved too cheaply. In practical terms, the paper narrows the gap between what is known to be possible and what is known to be necessary for this kind of invariance testing. It is mainly a theoretical advance in property testing and complexity.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2301.02129v4,Algorithms and Complexity for Computing Nash Equilibria in Adversarial Team Games,cs.GT,global_only,borderline,2301.02129.pdf,True,pdf_checked,True,"Adversarial team games model multiplayer strategic interactions in which a team of identically-interested players is competing against an adversarial player in a zero-sum game. Since the seminal work of Von Stengel and Koller (GEB `97), different solution concepts have received attention from an algorithmic standpoint. As a consequence, we show that the Moreau envelop of a suitable best response function acts as a potential under certain natural gradient-based dynamics. Such games capture many well-studied settings in game theory, such as congestion games, but go well-beyond to environments wherein the cooperation of one team -- in the absence of explicit communication -- is obstructed by competing entities; the latter setting remains poorly understood despite its numerous applications.","This paper studies adversarial team games, where several players with the same interests face a single opposing player in a zero-sum setting. The authors resolve the long-open complexity status of computing a standard Nash equilibrium by showing that the problem lies in the CLS class, which in turn gives CLS-completeness together with earlier hardness results. They also prove that an approximate stationary strategy for the team can be turned into an approximate equilibrium in polynomial time. Overall, the paper is a complexity-theoretic result that clarifies how hard these games are to solve.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2023,http://arxiv.org/abs/2306.02766v6,Networked Communication for Decentralised Agents in Mean-Field Games,cs.MA,global_only,borderline,2306.02766.pdf,True,pdf_checked,True,"Methods like multi-agent reinforcement learning struggle to scale with growing population size. However, classical mean-field algorithms usually only work under restrictive conditions. We take steps to address this by introducing networked communication to MFGs, in particular to settings that use a single, non-episodic run of N decentralised agents to simulate the infinite population, as is likely to be most reasonable in real-world deployments. Mean-field games (MFGs) are a game-theoretic approach that can circumvent this by finding a solution for an abstract infinite population, which can then be used as an approximate solution for the N-agent problem.","This paper brings networked communication into mean-field games for decentralized agents. The goal is to keep the scalability benefits of mean-field methods while relaxing the strong assumptions used by more classical approaches. The authors provide theory and empirical results showing that limited communication can substantially improve learning compared with fully independent agents, and can often approach the performance of more centralized methods. They also report gains in robustness when updates fail or when the population size changes.",matched PDF in zip; summary revised conservatively against available PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2412.17203v2,Agile TLB Prefetching and Prediction Replacement Policy,cs.AR,section_plus_global,good,2412.17203.pdf,True,pdf_checked,True,"Virtual-to-physical address translation is a critical performance bottleneck in paging-based virtual memory systems. Hardware approaches enhance TLB reach through system-level support, while software optimizations include TLB prefetching, replacement policies, superpages, and page size adjustments. Predictive replacement policies further improve TLB performance. The Translation Lookaside Buffer (TLB) accelerates address translation by caching frequently accessed mappings, but TLB misses lead to costly page walks.","This paper focuses on speeding up virtual-memory address translation, where TLB misses can trigger expensive page walks. The authors combine an Agile TLB Prefetcher with a prediction-based replacement policy to better anticipate which page-table entries will be needed and which cached entries are most useful to keep. The overall goal is to reduce translation overhead and improve memory-system performance beyond traditional replacement strategies such as LRU.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2410.17587v2,Predicting Company Growth using Scaling Theory informed Machine Learning,cs.CE,section_plus_global,good,2410.17587.pdf,True,pdf_checked,True,"Predicting company growth is a critical yet challenging task because observed dynamics blend an underlying structural growth trend with volatile fluctuations. Here, we propose a Scaling-Theory-Informed Machine Learning (STIML) framework that integrates a scaling-based growth model to capture the mechanism-driven average trend, together with a data-driven forecasting model to learn the residual fluctuations. Across 16 target variables, we show that company growth exhibits a clear separation between trend-driven predictability and fluctuation-driven predictability, with their relative importance depending strongly on company size and volatility. Using Compustat annual financial statement data (1950--2019) for 31,553 North American companies, we extend the growth model beyond assets to multiple financial indicators, and evaluate STIML against growth model-only and purely data-driven baselines.","This paper tackles the problem of forecasting company growth by combining theory with machine learning. The proposed STIML framework uses a scaling-based model to capture the average structural growth trend and a data-driven model to predict the remaining fluctuations. Using Compustat data from more than 31,000 North American companies across many decades, the authors show that this hybrid approach improves prediction across multiple financial indicators and clarifies how trend and volatility contribute differently depending on company size.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2411.10061v4,"EchoMimicV2: Towards Striking, Simplified, and Semi-Body Human Animation",cs.GR,section_plus_global,good,2411.10061.pdf,True,pdf_checked,True,"Recent work on human animation usually involves audio, pose, or movement maps conditions, thereby achieves vivid animation quality. However, these methods often face practical challenges due to extra control conditions, cumbersome condition injection modules, or limitation to head region driving. Extensive experiments and analyses demonstrate that EchoMimicV2 surpasses existing methods in both quantitative and qualitative evaluations. Hence, we ask if it is possible to achieve striking half-body human animation while simplifying unnecessary conditions.","This paper presents EchoMimicV2, a method for generating expressive half-body human animation from a reference image, an audio clip, and hand-pose input. The system is designed to reduce the number of cumbersome control conditions used by earlier methods while still improving facial motion, gestures, and overall visual quality. The authors report that the approach performs strongly in both quantitative and qualitative evaluations, making simplified yet high-quality human animation more practical.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2501.00204v2,MSM-BD: Multimodal Social Media Bot Detection Using Heterogeneous Information,cs.MM,section_plus_global,good,2501.00204.pdf,True,pdf_checked,True,"Although social bots can be engineered for constructive applications, their potential for misuse in manipulative schemes and malware distribution cannot be overlooked. Given the heterogeneous information landscape on social media, spanning images, texts, and user statistical features, we propose MSM-BD, a Multimodal Social Media Bot Detection approach using heterogeneous information. Advances in artificial intelligence have improved the abilities of social bots, allowing them to generate content that is almost indistinguishable from human-created content. This dichotomy underscores the critical need to detect social bots on social media platforms.","This paper proposes MSM-BD, a multimodal system for detecting social-media bots. Instead of relying on only text or only user statistics, it combines heterogeneous information such as images, text, and account-level features to better distinguish automated accounts from human users. The motivation is that modern bots have become much more convincing, so stronger detection systems need to make use of multiple kinds of signals at once.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2411.10656v2,Precision or Peril: A PoC of Python Code Quality from Quantized Large Language Models,cs.SE,section_plus_global,good,2411.10656.pdf,True,pdf_checked,True,"Context: Large Language Models (LLMs) like GPT-5 and LLaMA-405b exhibit advanced code generation abilities, but their deployment demands substantial computation resources and energy. Method: Four open-source LLMs are evaluated on Python benchmarks using code similarity metrics, with an analysis on 8-bit and 4-bit quantization, alongside static code quality assessment. Conclusions: LLM-generated code should be carefully validated before integration into software projects. Quantization can reduce memory footprint and hardware requirements, yet may degrade code quality.","This study examines whether quantized language models can still produce good Python code while using fewer computational resources. The authors compare several open-source models, including 8-bit and 4-bit versions, on code-generation benchmarks and static quality checks. They find that smaller and quantized models can still generate usable code, but results are uneven and code quality problems remain, so the outputs should be carefully validated before real software use.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2408.12240v5,The Bright Side of Timed Opacity,cs.LO,global_only,borderline,2408.12240.pdf,True,pdf_checked,True,"Timed automata (TAs) are an extension of finite automata that can measure and react to the passage of time, providing the ability to handle real-time constraints using clocks. In this article, we consider the same definition of opacity, by restricting either the system or the attacker. We show that opacity is mostly decidable in these cases, except for one-action TAs and for one-clock TAs with ε-transitions, for which undecidability remains. In 2009, Franck Cassez showed that the timed opacity problem, where an attacker can observe some actions with their timestamps and attempts to deduce information, is undecidable for TAs.","Timed automata are mathematical models for systems where timing matters, and earlier work showed that checking opacity in these models is generally undecidable. This paper identifies several cases where the problem becomes manageable, including restrictions on the system or the attacker, and it studies the relationship between different notions of opacity. It also proposes new definitions that limit what an attacker can observe, leading to decidability results for the full timed-automata class under those bounded-observation settings.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2402.16741v5,Less is More Revisited: Association with Global Protocols and Multiparty Sessions,cs.PL,global_only,borderline,2402.16741.pdf,True,pdf_checked,True,"Ensuring correctness of communication in distributed systems remains challenging. In practice, the MPST framework has been integrated into over 25 programming languages or tools. To address this, Multiparty session types (MPST), initially introduced by Honda et al. [52, 53], offer a type discipline in which a programmer or architect specifies an overall view of communication as a global protocol (global type), and each distributed program is locally type-checked against its end-point projection. Ten years after the emergence of MPST, Scalas and Yoshida [84] discovered that existing proofs of type safety using end-point projection with mergeability are flawed, where the mergeability operator enlarges the typability of MPST end-point programs, admits easy implementation, and is more efficient than alternative approaches, including model checking.","This paper revisits a long-running correctness issue in multiparty session types, a framework for checking whether distributed programs follow a communication protocol. Earlier work showed flaws in existing proofs that used end-point projection with mergeability, which raised doubts about soundness. The authors propose a new proof technique based on associating the behavior of a global protocol with its projected local types, and use it to recover soundness and key guarantees such as session fidelity, deadlock freedom, and liveness.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2024,http://arxiv.org/abs/2408.05954v3,"Parameterized Verification of Systems with Precise (0,1)-Counter Abstraction",cs.FL,section_plus_global,bad,2408.05954.pdf,True,pdf_checked,True,"We introduce a new framework for verifying systems with a parametric number of concurrently running processes. The systems we consider are well-structured with respect to a specific well-quasi order. We show that several systems from the parameterized verification literature fall into this class, including reconfigurable broadcast networks (or systems with lossy broadcast), disjunctive systems, synchronizations and systems with a fixed number of shared finite-domain variables. This allows us to decide a wide range of verification problems, including control-state reachability, coverability, and target, in a fixed finite abstraction of the infinite state-space, called a 01-counter system.","This paper introduces a new way to verify systems that may contain any number of concurrent processes. The authors build a finite abstraction called a 01-counter system, which lets them decide several important verification questions such as reachability, coverability, and target problems for a broad class of well-structured systems. The framework also unifies and extends earlier results for models like broadcast networks, disjunctive systems, and systems with shared finite-domain variables.",matched PDF in second upload batch; summary revised conservatively against uploaded PDF text and phase-2 fields
test,2025,http://arxiv.org/abs/2511.09232v3,POTSA: A Cross-Lingual Speech Alignment Framework for Speech-to-Text Translation,cs.CL,section_plus_global,good,2511.09232.pdf,True,pdf_checked,True,"Speech Large Language Models have achieved breakthroughs in multilingual speech-to-text translation. In this work, we propose POTSA (Parallel Optimal Transport for Speech Alignment), a new framework based on cross-lingual parallel speech pairs and Optimal Transport, designed to bridge high- and low-resource translation gaps. However, existing approaches often overlook semantic commonalities across source languages, leading to biased translation performance. First, we introduce a Bias Compensation module to coarsely align initial speech representations.","This paper introduces POTSA, a method for improving multilingual speech-to-text translation, especially for languages with less training data. The main idea is to align speech representations across languages so the model can better share useful semantic information instead of treating each source language too separately. The system first applies a coarse bias-compensation step, then uses Optimal Transport on parallel speech pairs to enforce finer alignment, and finally focuses that alignment on the layers where it helps most. On the FLEURS benchmark, the authors report stronger translation quality in both common and zero-shot languages. In practical terms, the work aims to reduce the performance gap between high-resource and low-resource speech translation settings.",Revised against uploaded PDF in follow-up batch 1; kept conservative and close to the paper abstract/introduction.
test,2025,http://arxiv.org/abs/2505.15936v3,A self-heating electrochemical cell with nine decades of programmable linear resistance,cs.ET,section_plus_global,good,2505.15936.pdf,True,pdf_checked,True,"A programmable linear resistor with a compact footprint would have profound implications for microelectronics, enabling efficient in-sensor analog signal processing and in-memory computing. Here, we introduce a tunable resistor that is programmed into non-volatile, high-precision resistance states spanning nine orders of magnitude, with linear current-voltage characteristics across the entire range -- significantly improving the performance and widening the application space of resistive memory. This enables direct processing of analog signals with high fidelity, and we demonstrate variable-gain amplification, division, and multiplication. Non-volatile memory offers a potential solution but suffers from limitations due to the programming mechanisms that confine switching to nanoscale constrictions or field-sensitive semiconductor junctions, leading to non-linear current-voltage relationships and errors.","This paper introduces a new kind of programmable resistor for microelectronics. The device can be set to many stable resistance levels across an extremely large range while still keeping a nearly perfectly linear electrical response, which is important for accurate analog computation. The key idea is to use an electrochemical design that spreads heat and material changes through a larger volume instead of concentrating switching in a tiny weak spot. According to the paper, this greatly reduces conductance errors and allows thousands of usable states. The authors also show circuit-style operations such as amplification, division, and multiplication, suggesting the device could be useful for in-memory computing and other compact analog hardware.",Revised against uploaded PDF in follow-up batch 1; kept conservative and close to the paper abstract/introduction.
